Price,Date,Adj Close,Close,High,Low,Open,Volume
141,2020-07-02,127.72933197021484,135.08999633789062,139.10000610351562,134.82000732421875,137.66000366210938,1444600
142,2020-07-06,128.5991668701172,136.00999450683594,137.2100067138672,135.72000122070312,136.57000732421875,1506700
143,2020-07-07,123.93781280517578,131.0800018310547,134.77000427246094,131.00999450683594,134.47999572753906,1869300
144,2020-07-08,124.93060302734375,132.1300048828125,133.08999633789062,130.6999969482422,131.05999755859375,1498800
145,2020-07-09,123.79597473144531,130.92999267578125,132.74000549316406,128.42999267578125,131.83999633789062,1270100
146,2020-07-10,121.42276000976562,128.4199981689453,130.41000366210938,127.58000183105469,129.86000061035156,1921300
147,2020-07-13,123.91889953613281,131.05999755859375,132.44000244140625,129.0399932861328,129.66000366210938,2373800
148,2020-07-14,125.72482299804688,132.97000122070312,133.19000244140625,129.5,130.42999267578125,1172700
149,2020-07-15,127.22818756103516,134.55999755859375,136.47000122070312,133.97000122070312,133.97999572753906,910100
150,2020-07-16,127.37004852294922,134.7100067138672,134.8699951171875,133.1199951171875,133.6999969482422,1221400
151,2020-07-17,130.1781768798828,137.67999267578125,138.47000122070312,135.24000549316406,135.8300018310547,1217200
152,2020-07-20,128.25881958007812,135.64999389648438,137.9600067138672,134.72000122070312,137.19000244140625,1771700
153,2020-07-21,130.48072814941406,138.0,138.47000122070312,136.2100067138672,136.3300018310547,1072700
154,2020-07-22,133.50637817382812,141.1999969482422,141.97000122070312,137.25999450683594,137.6999969482422,1144600
155,2020-07-23,136.36184692382812,144.22000122070312,145.85000610351562,141.35000610351562,141.3699951171875,1640500
156,2020-07-24,134.00753784179688,141.72999572753906,144.22999572753906,140.8000030517578,144.13999938964844,1370000
157,2020-07-27,134.2250213623047,141.9600067138672,143.52999877929688,141.49000549316406,141.80999755859375,1077100
158,2020-07-28,129.34616088867188,136.8000030517578,141.5500030517578,135.77999877929688,140.67999267578125,1517100
159,2020-07-29,132.4095458984375,140.0399932861328,140.5500030517578,137.8000030517578,138.00999450683594,838200
160,2020-07-30,131.6059112548828,139.19000244140625,139.35000610351562,135.89999389648438,137.41000366210938,541200
161,2020-07-31,132.1826934814453,139.8000030517578,139.91000366210938,137.10000610351562,139.6999969482422,703300
162,2020-08-03,130.0457763671875,137.5399932861328,141.25,137.4600067138672,140.64999389648438,906000
163,2020-08-04,130.07420349121094,137.57000732421875,139.99000549316406,136.77000427246094,138.36000061035156,1211200
164,2020-08-05,130.79281616210938,138.3300018310547,139.52999877929688,137.44000244140625,138.35000610351562,1379900
165,2020-08-06,136.18218994140625,144.02999877929688,144.0500030517578,137.88999938964844,137.88999938964844,1994000
166,2020-08-07,136.39967346191406,144.25999450683594,151.99000549316406,141.9499969482422,147.7100067138672,2828900
167,2020-08-10,134.4707794189453,142.22000122070312,144.5,140.89999389648438,144.0,1472100
